sec,date,sales,cur.asset,cash.and.st.invest,cur.liab,tot.debt,tot.asset,tot.invest,tot.liab,lt.debt,st.debt,lt.invest,st.invest,pref.stk,accts.rec,inventory,net.fixed.asset,cash,earnings
AXDX US Equity,12/31/14,0.122,67.098,66.678,2.783,0.16,69.801,13.115,3.81,0.013,0.147,0,13.115,0,0.078,0,2.536,53.563,-30.933
AXDX US Equity,12/31/15,0.147,134.151,132.424,5.306,0.013,139.324,11.839,6.306,0,0.013,0,11.839,0,0.077,0,5.016,120.585,-45.498
SE US Equity,12/31/14,5903,2332,215,3809,14637,33998,0,23342,12727,1910,0,0,0,1336,313,22307,215,1082
SE US Equity,12/31/15,5234,1648,213,3392,14656,32923,0,23052,12892,1764,0,0,0,806,307,22918,213,196
PE US Equity,12/31/14,305.043,204.161,50.55,220.865,677.495,2051.079,0,1058.59,676.845,0.65,0,0,0,22.7,3.767,1760.862,50.55,23.424
PE US Equity,12/31/15,314.694,488.326,343.084,228.497,556.875,2514.192,0,927.551,555.924,0.951,0,0,0,21.219,0,1985.753,343.084,-50.484
INXN US Equity,12/31/14,340.624,222.335,101.573,175.697,561.592,1173.103,2.424,736.958,540.53,21.062,0.774,1.65,0,120.762,0,895.184,99.923,35.06
INXN US Equity,12/31/15,386.56,200.088,58.554,171.835,555.763,1252.064,0,744.647,550.812,4.951,0,0,0,79.128,0,999.072,58.554,48.566
AR US Equity,12/31/14,1948.215,1252.16,245.979,894.732,4362.55,11573.495,0,6099.665,4362.55,0,0,0,0,116.203,0,9352.452,245.979,673.587
AR US Equity,12/31/15,2429.929,1248.236,23.473,707.27,4708.513,14155.224,0,6868.546,4708.513,0,0,0,0,79.404,0,10732.242,23.473,941.364
RSPP US Equity,12/31/14,287.833,173.742,56.292,130.041,500,2289.947,0,964.176,500,0,0,0,0,40.436,0,2094.618,56.292,2.496
RSPP US Equity,12/31/15,376.11,187.54,142.741,77.402,698.65,2979.571,0,1120.987,698.65,0,0,0,0,36.323,0,2758.63,142.741,-18.254
CLR US Equity,12/31/14,4627.209,1389.601,24.381,1952.013,5997.915,15145.07,0,10177.226,5995.837,2.078,0,0,0,552.476,102.179,13635.852,24.381,977.341
CLR US Equity,12/31/15,2654.156,822.339,11.463,923.028,7117.788,14919.808,0,10250.908,7115.644,2.144,0,0,0,378.622,94.151,14063.328,11.463,-353.668
ELGX US Equity,12/31/14,147.588,147.767,86.669,29.624,70.407,248.209,59.871,124.059,70.407,0,0,59.871,0,26.113,31.325,25.696,26.798,-32.418
ELGX US Equity,12/31/15,153.613,237.461,177.321,50.855,172.515,335.817,52.768,232.51,172.515,0,0,52.768,0,28.531,27.86,23.355,124.553,-50.424
HHC US Equity,12/31/14,634.565,NA,560.451,NA,1978.807,5105.268,NA,2877.762,1978.807,0,0,0,0,28.19,NA,3959.374,560.451,-23.531
HHC US Equity,12/31/15,797.088,NA,445.301,NA,2443.962,5721.582,NA,3357.693,2443.962,0,0,0,0,32.203,NA,4541.663,445.301,126.719
SRPT US Equity,12/31/14,9.757,247.796,210.344,36.867,6.328,295.033,136.793,47.38,3.738,2.59,0,136.793,0,2.416,0,38.501,73.551,-135.789
SRPT US Equity,12/31/15,1.253,224.543,192.491,62.294,23.398,273.782,112.187,83.435,14.969,8.429,0,112.187,0,3.977,0,37.344,80.304,-220.03
CPE US Equity,12/31/14,155.948,60.457,0.968,98.812,321.576,863.346,0,429.611,321.576,0,0,0,0,30.198,0,749.273,0.968,37.766
CPE US Equity,12/31/15,172.527,62.252,1.224,87.877,328.565,788.594,0,425.836,328.565,0,0,0,0,39.624,0,719.086,1.224,-240.139
GLOG US Equity,12/31/14,328.679,288.485,240.077,201.361,1895.276,3269.971,28.103,2016.934,1778.845,116.431,0,28.103,0,14.317,4.953,2952.293,211.974,42.161
GLOG US Equity,12/31/15,415.078,398.145,308.988,734.392,2374.487,4039.621,6,2531.701,1737.5,636.987,0,6,111.378,16.079,6.496,3578.675,302.988,10.829
GLNG US Equity,12/31/14,106.156,742.838,191.41,369.69,1380.787,3991.993,479.479,1709.486,1264.356,116.431,479.479,0,0,4.419,8.317,2338.636,191.41,-43.121
GLNG US Equity,12/31/15,102.674,640.773,105.235,967.581,1878.061,4307.588,229.702,2413.249,1376.443,501.618,229.702,0,0,4.474,8.65,2850.727,105.235,-197.66
GKOS US Equity,12/31/14,45.587,10.554,2.304,20.187,19.35,26.021,0,29.546,8.968,10.382,0,0,0,5.398,2.258,1.95,2.304,-13.675
GKOS US Equity,12/31/15,71.7,104.14,91.124,20.362,9.696,116.661,69.552,21.47,0.765,8.931,0,69.552,0,7.549,4.097,2.154,21.572,-37.241
ALDR US Equity,12/31/14,54.705,60.743,55.872,5.009,0,64.359,9.077,5.202,0,0,0,9.077,0,0.113,0,1.16,46.795,8.908
ALDR US Equity,12/31/15,0,322.201,305.172,12.372,0,400.027,174.52,12.51,0,0,75.84,98.68,0,0,0,1.974,206.492,-85.47
EOG US Equity,12/31/14,16727.484,5416.021,2087.213,3384.308,5916.512,34762.687,0,17050.105,5903.354,13.158,0,0,0,1779.311,706.597,29172.644,2087.213,2915.487
EOG US Equity,12/31/15,8704.302,2592.244,718.506,1819.287,6666.843,26975.244,0,14032.209,6653.685,13.158,0,0,0,930.61,598.935,24210.721,718.506,-4524.515
EQT US Equity,12/31/14,2413.836,1904.323,1077.429,833.342,2959.353,12035.353,0,5662.29,2793.479,165.874,0,0,0,306.085,0,10076.814,1077.429,386.965
EQT US Equity,12/31/15,2093.009,2251.019,1601.232,795.819,3092.343,13976.172,0,5948.13,2793.343,299,0,0,0,176.957,0,11472.021,1601.232,85.171
NKTR US Equity,12/31/14,200.706,288.2,237.824,64.047,133.651,441.621,225.459,405.289,129.139,4.512,0,225.459,0,3.607,12.952,70.368,12.365,-53.916
NKTR US Equity,12/31/15,230.784,350.051,308.944,61.246,247.944,502.061,253.374,495.632,243.188,4.756,0,253.374,0,19.947,11.346,71.336,55.57,-81.177
NFX US Equity,12/31/14,2228,940,14,1101,2892,9598,26,5705,2892,0,26,0,0,405,33,8414,14,900
NFX US Equity,12/31/15,2062,625,5,647,2467,4768,20,3389,2467,0,20,0,0,262,34,3991,5,-3362
NVAX US Equity,12/31/14,30.659,188.158,168.056,34.116,0.998,276.002,135.721,46.384,0.395,0.603,0,135.721,0,7.51,0,19.737,32.335,-82.947
NVAX US Equity,12/31/15,36.251,287.257,230.656,76.494,0.395,386.038,137.548,93.369,0,0.395,0,137.548,0,1.449,0,32.342,93.108,-156.937
AYR US Equity,12/31/14,818.602,336.874,169.656,3885.45,3744.587,6175.146,106.651,4454.811,0,3744.587,106.651,0,0,3.334,0,5579.718,169.656,100.828
AYR US Equity,12/31/15,819.202,327.607,155.904,4172.214,4041.156,6569.964,201.211,4790.464,0,4041.156,201.211,0,0,8.566,0,5867.062,155.904,121.729
BIP US Equity,12/31/14,1924,1560,189,821,6809,16495,162,10173,6768,41,162,0,0,299,21,8084,189,184
BIP US Equity,12/31/15,1855,1553,199,1210,7232,17735,153,10559,6930,302,153,0,93,0,13,7632,199,268
ONCE US Equity,6/30/15,NA,225.0917,223.0474,13.3942,0,238.9901,0,33.5034,0,0,0,0,0,0,0,13.4902,223.0474,NA
ONCE US Equity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
